,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Al-Farouq Aminu,34.0,3,13,0,1,6,9,5,11,2,1,0,4,4,12,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
1,Ike Diogu,33.0,4,11,0,2,4,6,4,10,0,0,0,1,2,12,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
2,Tony Skinn,33.0,2,11,1,6,4,5,1,3,1,1,0,2,4,9,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
3,Derrick Obasohan,32.0,2,9,0,3,2,2,1,1,0,1,1,2,2,6,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
4,Alade Aminu,29.0,4,8,0,0,2,3,4,6,0,0,2,4,4,10,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
5,Koko Archibong,13.0,1,1,0,0,0,0,3,3,0,1,0,2,4,2,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
6,Champ Oguchi,12.0,0,4,0,2,1,2,0,1,0,0,0,0,3,1,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
7,Olumide Oyedeji,8.0,0,2,0,0,1,2,1,2,0,0,0,0,0,1,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
8,Richard Oruche,4.0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
9,Adeola Dagunduro,3.0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
10,Totals,,16,66,1,16,20,29,20,38,3,4,3,15,23,53,nigeria,2012-07-31,lithuania,2012073110,Group A,201210,mens-olympics
0,Linas Kleiza,24.0,4,8,0,2,5,6,0,6,0,0,0,4,3,13,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
1,Simas Jasaitis,23.0,2,7,1,4,2,2,0,4,0,0,0,1,2,7,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
2,Mantas Kalnietis,23.0,0,3,0,0,0,0,0,1,7,1,0,1,1,0,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
3,Sarunas Jasikevicius,20.0,3,4,1,1,2,2,0,2,9,2,0,3,2,9,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
4,Rimantas Kaukenas,19.0,4,7,0,1,2,2,0,2,1,2,1,0,2,10,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
5,Paulius Jankunas,17.0,1,4,1,2,4,4,2,2,0,0,0,0,3,7,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
6,Jonas Maciulis,17.0,0,3,0,2,0,0,2,3,0,1,0,2,1,0,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
7,Darius Songaila,15.0,5,7,0,0,2,2,1,4,0,1,0,4,3,12,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
8,Martynas Pocius,14.0,2,3,0,1,0,0,0,4,1,0,0,1,2,4,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
9,Antanas Kavaliauskas,12.0,2,4,0,0,2,3,2,4,0,0,0,0,3,6,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
10,Jonas Valanciunas,12.0,2,4,0,0,0,0,1,3,0,0,1,1,3,4,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
11,Renaldas Seibutis,4.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
12,Totals,,25,54,3,13,19,21,8,35,19,7,2,17,26,72,lithuania,2012-07-31,nigeria,2012073110,Group A,201210,mens-olympics
